age,workclass,education,education-num,marital-status,occupation,relationship,race,male,hours-per-week,income-range
50,4,0,13,2,3,0,4,1,13, <=50K
38,2,1,9,0,5,1,4,1,40, <=50K
53,2,0,7,2,5,0,2,1,40, <=50K
37,2,5,14,2,3,5,4,0,40, <=50K
52,4,0,9,2,3,0,4,1,45, >50K
37,2,0,10,2,3,0,2,1,80, >50K
23,2,3,13,4,0,3,4,0,30, <=50K
32,2,1,12,4,11,1,2,1,50, <=50K
25,4,3,9,4,4,3,4,1,35, <=50K
32,2,4,9,4,6,4,4,1,40, <=50K
38,2,0,7,2,11,0,4,1,50, <=50K
43,4,4,14,0,3,4,4,0,45, >50K
40,2,0,16,2,9,0,4,1,60, >50K
54,2,4,9,5,7,4,2,0,20, <=50K
35,0,0,5,2,4,0,2,1,40, <=50K
59,2,4,9,0,12,4,4,0,40, <=50K
56,1,0,13,2,12,0,4,1,40, >50K
19,2,3,9,4,2,3,4,1,40, <=50K
39,2,1,9,0,3,1,4,1,80, <=50K
49,2,0,9,2,2,0,4,1,40, <=50K
23,1,1,12,4,10,1,4,1,52, <=50K
20,2,3,10,4,11,3,2,1,44, <=50K
30,0,3,10,2,0,3,4,1,40, <=50K
22,5,0,10,2,7,0,2,1,15, <=50K
21,2,3,10,4,6,3,4,1,40, <=50K
19,2,5,9,1,0,5,4,0,25, <=50K
48,4,0,12,2,9,0,4,1,40, <=50K
31,2,0,5,2,6,0,4,1,43, <=50K
53,4,0,13,2,9,0,4,1,40, <=50K
24,2,0,13,2,12,0,4,1,50, <=50K
49,2,4,9,5,0,4,4,0,40, <=50K
25,2,1,9,4,5,1,4,1,35, <=50K
57,0,0,13,2,9,0,2,1,40, >50K
53,2,0,9,2,6,0,4,1,38, <=50K
44,2,4,14,0,3,4,4,0,40, <=50K
41,5,0,11,2,2,0,4,1,40, <=50K
29,2,1,11,4,9,1,4,1,43, <=50K
25,2,5,10,2,3,5,3,0,40, <=50K
50,0,1,13,0,3,1,4,1,55, >50K
47,3,1,9,0,3,1,4,1,60, <=50K
43,2,0,10,2,12,0,4,1,40, >50K
41,2,0,9,2,0,0,4,1,48, <=50K
48,2,0,9,2,13,0,4,1,40, <=50K
42,2,0,16,2,9,0,4,1,45, >50K
29,2,1,10,0,12,1,4,1,58, <=50K
36,2,0,9,2,2,0,4,1,40, <=50K
28,2,1,10,0,0,1,4,0,40, <=50K
53,2,5,9,2,0,5,4,0,40, >50K
49,3,0,10,2,3,0,4,1,50, >50K
19,2,3,10,4,9,3,4,1,32, <=50K
31,2,3,13,5,11,3,2,0,40, <=50K
29,4,0,13,2,11,0,4,1,70, >50K
23,2,1,10,4,6,1,4,1,40, <=50K
79,2,2,10,2,9,2,4,1,20, <=50K
40,2,0,12,2,0,0,4,1,40, <=50K
18,2,3,7,4,7,3,4,0,22, <=50K
31,1,0,4,2,4,0,4,1,40, <=50K
